date,value
1971-01-01,6.081874003503929
1971-02-01,5.7523844138186675
1971-03-01,6.062462181643502
1971-04-01,6.616586079694642
1971-05-01,6.899287148695121
1971-06-01,7.179369201874364
1971-07-01,7.157019250125174
1971-08-01,6.8562671437296885
1971-09-01,7.090796942305122
1971-10-01,6.118115647508127
1971-11-01,5.785479269817406
1971-12-01,5.750449448019124
1972-01-01,5.144856183604185
1972-02-01,5.7330931739108415
1972-03-01,6.007812394328305
1972-04-01,5.342516667358099
1972-05-01,5.310982531394837
1972-06-01,4.993695328593839
1972-07-01,4.97906645030155
1972-08-01,5.5651254549376805
1972-09-01,4.935689697009238
1972-10-01,5.765285142727716
1972-11-01,5.748709091768145
1972-12-01,5.9932340722673505
1973-01-01,6.840272688440052
1973-02-01,7.075085611784937
1973-03-01,8.384797247787557
1973-04-01,9.109743002470205
1973-05-01,9.84400728132524
1973-06-01,10.593341742084617
1973-07-01,11.332868530700324
1973-08-01,11.556468583206803
1973-09-01,12.749337037327235
1973-10-01,12.861737782209381
1973-11-01,14.049036294882633
1973-12-01,16.08554968990772
1974-01-01,18.55303608307395
1974-02-01,20.661424936299923
1974-03-01,19.651877839753283
1974-04-01,19.802868599931234
1974-05-01,19.996021585855274
1974-06-01,19.597364596228182
1974-07-01,20.04387576204527
1974-08-01,19.743519460400314
1974-09-01,19.224719659392477
1974-10-01,21.423701049800627
1974-11-01,20.748765424165683
1974-12-01,18.66361349717467
1975-01-01,16.034265007517945
1975-02-01,13.491931789937084
1975-03-01,13.187804421813487
1975-04-01,13.163565745962336
1975-05-01,12.227423809988824
1975-06-01,11.966450375608906
1975-07-01,11.056614948509136
1975-08-01,10.473532026390764
1975-09-01,11.090069603344155
1975-10-01,8.20288056451659
1975-11-01,7.958743791834699
1975-12-01,7.536521894921
1976-01-01,8.228939475651442
1976-02-01,8.376988306545918
1976-03-01,8.330438588020739
1976-04-01,8.542884777820436
1976-05-01,8.669686212620986
1976-06-01,8.982695838979371
1976-07-01,8.763423593222042
1976-08-01,8.794902356559353
1976-09-01,8.470669747216286
1976-10-01,8.426034361774004
1976-11-01,8.716315660591878
1976-12-01,5.301594769899687
1977-01-01,8.7609642038883
1977-02-01,8.22380982369717
1977-03-01,8.181733103190503
1977-04-01,8.031069641961253
1977-05-01,8.296629779582076
1977-06-01,7.9249371654140255
1977-07-01,7.898841131863055
1977-08-01,7.9249371654140255
1977-09-01,7.652226593869127
1977-10-01,7.615013755802469
1977-11-01,6.932670557451193
1977-12-01,7.7789409616286775
1978-01-01,5.596984227145274
1978-02-01,5.7523844138186675
1978-03-01,5.879373718067882
1978-04-01,5.169514289607324
1978-05-01,4.969966855227259
1978-06-01,4.803402046610827
1978-07-01,4.788559603900477
1978-08-01,4.500371511692869
1978-09-01,4.295138719559954
1978-10-01,4.125871661597635
1978-11-01,4.119575643826767
1978-12-01,6.622897050348353
1979-01-01,3.963933589060886
1979-02-01,3.658944743229231
1979-03-01,3.487844061940759
1979-04-01,3.15578404077117
1979-05-01,3.2789822822991255
1979-06-01,3.274101971910337
1979-07-01,3.11829274366886
1979-08-01,3.283877164700577
1979-09-01,3.249916739295422
1979-10-01,3.385165023102399
1979-11-01,3.524593906167439
1979-12-01,2.647213404197668
1980-01-01,4.243504263414355
1980-02-01,4.393092922572617
1980-03-01,4.658775483898303
1980-04-01,5.188483536901156
1980-05-01,5.837956431530245
1980-06-01,6.243161796272911
1980-07-01,6.371581438610718
1980-08-01,6.260934870516177
1980-09-01,6.335686395330775
1980-10-01,6.5804000832802245
1980-11-01,6.562018700831285
1980-12-01,4.678386787916811
1981-01-01,6.113014040500797
1981-02-01,5.843108343584369
1981-03-01,5.5339152907094125
1981-04-01,5.066107210524429
1981-05-01,4.595403127868458
1981-06-01,4.307529986211112
1981-07-01,4.03280453869721
1981-08-01,4.0546094394350085
1981-09-01,4.14220872798694
1981-10-01,3.9845908547199826
1981-11-01,3.8440783307428283
1981-12-01,4.601623728670656
1982-01-01,3.444048998029192
1982-02-01,3.4531983542374967
1982-03-01,3.3093688429913115
1982-04-01,3.154006507020224
1982-05-01,2.993066624618823
1982-06-01,2.857337244405578
1982-07-01,2.729214228800725
1982-08-01,2.743477093419422
1982-09-01,2.8389003262685897
1982-10-01,2.6976587698202437
1982-11-01,2.5675351340230357
1982-12-01,2.996966969121484
1983-01-01,2.3167059281534286
1983-02-01,2.322685060981744
1983-03-01,2.3167059281534286
1983-04-01,2.428234322700362
1983-05-01,2.281467776617152
1983-06-01,2.278579592658847
1983-07-01,2.281467776617152
1983-08-01,2.040887163120697
1983-09-01,2.015181543730815
1983-10-01,2.00759565726889
1983-11-01,2.379573767522114
1983-12-01,2.909756199576652
1984-01-01,2.3885484989357053
1984-02-01,2.6433257068155136
1984-03-01,2.3885484989357053
1984-04-01,2.247285585205905
1984-05-01,2.719574280849013
1984-06-01,2.3501390836472957
1984-07-01,2.4753739152938437
1984-08-01,2.4938948347251966
1984-09-01,2.341450158591396
1984-10-01,2.696241760512752
1984-11-01,2.445109586416372
1984-12-01,3.190454651874486
1985-01-01,2.696241760512752
1985-02-01,2.5752496102414923
1985-03-01,2.8170876966695957
1985-04-01,2.7999394500358044
1985-05-01,1.9324272826402478
1985-06-01,2.296173388672784
1985-07-01,2.176627648195417
1985-08-01,2.7931384689177996
1985-09-01,2.168759701477807
1985-10-01,1.6786964949257133
1985-11-01,1.6766859857067828
1985-12-01,1.795380361659582
1986-01-01,1.6786964949257133
1986-02-01,1.799688645196973
1986-03-01,1.6766859857067828
1986-04-01,1.5485717439380764
1986-05-01,1.778351548867274
1986-06-01,1.658805808389907
1986-07-01,1.6607736399660844
1986-08-01,1.426896980119885
1986-09-01,1.4201422106167705
1986-10-01,1.533953381562192
1986-11-01,1.4151179546242787
1986-12-01,0.7092228309492299
1987-01-01,1.1820468600426182
1987-02-01,1.1820468600426182
1987-03-01,1.1806512586988838
1987-04-01,1.1751016535518133
1987-05-01,0.5858247568367503
1987-06-01,0.8191970914587898
1987-07-01,0.8201569113417406
1987-08-01,1.0569681489687177
1987-09-01,0.8191970914587898
1987-10-01,0.7001195458983034
1987-11-01,0.7001195458983034
1987-12-01,0.8211189830394261
1988-01-01,0.7025790024405509
1988-02-01,0.5858247568367503
1988-03-01,0.5851391768463721
1988-04-01,0.6984894521951723
1988-05-01,0.8144314941685771
1988-06-01,0.6968669316093745
1988-07-01,0.5817352065913717
1988-08-01,0.582412828598855
1988-09-01,0.6968669316093745
1988-10-01,0.8106587532989096
1988-11-01,0.9259325412797281
1988-12-01,1.5072749123650198
1989-01-01,1.0446989964655096
1989-02-01,1.1614532420693102
1989-03-01,1.2753796062570544
1989-04-01,1.4403803478962196
1989-05-01,1.7753973565203474
1989-06-01,1.7720123056855996
1989-07-01,1.778790146320297
1989-08-01,1.7821907016575267
1989-09-01,1.9964792910680096
1989-10-01,1.8738227527697937
1989-11-01,1.8703432749231474
1989-12-01,1.8668716844264743
1990-01-01,2.1010238847146923
1990-02-01,1.8773101448790186
1990-03-01,2.093557653317202
1990-04-01,2.1241715384246795
1990-05-01,2.0045214601231542
1990-06-01,1.892098738895065
1990-07-01,2.1170707122966093
1990-08-01,2.229746780555697
1990-09-01,2.436443887413997
1990-10-01,2.5401697082950925
1990-11-01,2.6462404080831448
1990-12-01,1.2202037140205846
1991-01-01,2.863631798045141
1991-02-01,2.8699541479188184
1991-03-01,2.965620958288806
1991-04-01,2.835522575512517
1991-05-01,3.040407917355026
1991-06-01,3.1473026362455414
1991-07-01,3.1473026362455414
1991-08-01,3.040407917355026
1991-09-01,2.698490775411333
1991-10-01,2.6897802319898467
1991-11-01,2.684004378981353
1991-12-01,2.933398811370669
1992-01-01,2.3606246378150786
1992-02-01,2.684004378981353
1992-03-01,2.4587021544394183
1992-04-01,2.7573326904099638
1992-05-01,2.6386755173195553
1992-06-01,2.6358932492700937
1992-07-01,2.3232301493268714
1992-08-01,2.325686216426792
1992-09-01,2.419897145744354
1992-10-01,2.3086020034182475
1992-11-01,2.3037668067017236
1992-12-01,3.368739598367476
1993-01-01,1.8908126336834918
1993-02-01,1.7848242824792138
1993-03-01,1.7792201424467358
1993-04-01,1.4538158446027794
1993-05-01,1.3450797724122943
1993-06-01,1.3436894672242516
1993-07-01,1.3478690320464004
1993-08-01,1.3492680044474348
1993-09-01,1.2396852976828576
1993-10-01,1.237129180254648
1993-11-01,1.0298752200574413
1993-12-01,0.4132237284911078
1994-01-01,1.1381395490146495
1994-02-01,1.0352059321031781
1994-03-01,1.1346176387301732
1994-04-01,1.1276388067933851
1994-05-01,1.225755898608405
1994-06-01,1.0214593409718198
1994-07-01,0.9226103373292993
1994-08-01,0.9235571033081591
1994-09-01,0.7161155922827511
1994-10-01,0.6128721941373705
1994-11-01,0.6128721941373705
1994-12-01,0.9235571033081591
1995-01-01,0.6153865574377804
1995-02-01,0.513611812176773
1995-03-01,0.3072199036969536
1995-04-01,0.10188487891031883
1995-05-01,-0.20325210249225734
1995-06-01,-0.20345886977874983
1995-07-01,-0.1020929134107007
1995-08-01,-0.10219724956934684
1995-09-01,0.20366605818038508
1995-10-01,0.3050332817623236
1995-11-01,0.20345886977874983
1995-12-01,0.20408170348522603
1996-01-01,0.10219724956934684
1996-02-01,0.3069056117418256
1996-03-01,0.30627895305457287
1996-04-01,0.3050332817623236
1996-05-01,0.3047234455468839
1996-06-01,0.40650462481695016
1996-07-01,0.5094254521742947
1996-08-01,0.4081638319648917
1996-09-01,0.40609192863145793
1996-10-01,0.3041056575778356
1996-11-01,0.5068434570458358
1996-12-01,0.711023818250478
1997-01-01,0.4077477616656111
1997-02-01,0.30596658239554486
1997-03-01,0.4069181606726424
1997-04-01,0.42170465858344386
1997-05-01,0.5192383563298542
1997-06-01,0.419785339679013
1997-07-01,0.4236278415931771
1997-08-01,0.5273360796593352
1997-09-01,0.7156368426377568
1997-10-01,0.8123908778853384
1997-11-01,0.6122665718843123
1997-12-01,0.31660404180664514
1998-01-01,0.6249567610757012
1998-02-01,0.5273360796593352
1998-03-01,0.6207096993844807
1998-04-01,0.4967720101935136
1998-05-01,0.2977669693924767
1998-06-01,0.29806281381379307
1998-07-01,0.29865626977487736
1998-08-01,0.298953884836628
1998-09-01,-0.0991571722295248
1998-10-01,-0.0989609185165996
1998-11-01,0.0989609185165996
1998-12-01,0.09935420588780275
1999-01-01,0.19900504080103687
1999-02-01,0.0997506317125918
1999-03-01,0.0
1999-04-01,0.0
1999-05-01,0.09905894816961691
1999-06-01,0.0991571722295248
1999-07-01,0.0
1999-08-01,0.09945301665084116
1999-09-01,0.0991571722295248
1999-10-01,-0.09905894816961691
1999-11-01,-0.2971770389157413
1999-12-01,0.0
2000-01-01,-0.29865626977487736
2000-02-01,-0.19960086467154525
2000-03-01,-0.29865626977487736
2000-04-01,-0.4967720101935136
2000-05-01,-0.3968259175620936
2000-06-01,-0.4967720101935136
2000-07-01,-0.4982571344464226
2000-08-01,-0.39840690148746916
2000-09-01,-0.7960241038388993
2000-10-01,-0.8959741371472596
2000-11-01,-0.8968669982760247
2000-12-01,-0.7976114070008755
2001-01-01,-1.002012391676299
2001-02-01,-1.004024498523215
2001-03-01,-1.1027680677062612
2001-04-01,-0.9004563093081508
2001-05-01,-1.0994613501091877
2001-06-01,-1.0010093595099967
2001-07-01,-0.903167203034716
2001-08-01,-0.9022617599637073
2001-09-01,-0.8024115270047538
2001-10-01,-0.8032171697263557
2001-11-01,-0.8040244318565648
2001-12-01,-0.6024114603381037
2002-01-01,-0.8089022873083884
2002-02-01,-0.8105414182821846
2002-03-01,-0.6066752682237997
2002-04-01,-0.8072697725110878
2002-05-01,-0.7060039410724528
2002-06-01,-0.7067167223092419
2002-07-01,-0.7081466112784263
2002-08-01,-0.8089022873083884
2002-09-01,-0.7074309442537619
2002-10-01,-0.7081466112784263
2002-11-01,-0.6072893157899273
2002-12-01,-0.7074309442537619
2003-01-01,-0.7131971137271265
2003-02-01,-0.6122468104383216
2003-03-01,-0.6103782938017943
2003-04-01,-0.507873107901613
2003-05-01,-0.40568006956149816
2003-06-01,-0.40609192863154675
2003-07-01,-0.20325210249225734
2003-08-01,-0.10157441198357375
2003-09-01,-0.20304575503820033
2003-10-01,0.0
2003-11-01,-0.20325210249225734
2003-12-01,-0.40650462481695016
2004-01-01,-0.1023017992034525
2004-02-01,0.0
2004-03-01,-0.1020929134107007
2004-04-01,-0.10188487891023001
2004-05-01,-0.30534374868897984
2004-06-01,-0.20366605818029626
2004-07-01,-0.4077477616656111
2004-08-01,-0.407332538763594
2004-09-01,-0.30534374868897984
2004-10-01,-0.4069181606725536
2004-11-01,-0.5099450112348691
2004-12-01,-0.20387366898484416
2005-01-01,-0.30753484002481457
2005-02-01,-0.5130847582344167
2005-03-01,-0.40941715326630046
2005-04-01,-0.5109873152270517
2005-05-01,-0.40858075225802537
2005-06-01,-0.5109873152270517
2005-07-01,-0.5120338887975251
2005-08-01,-0.6141268022082258
2005-09-01,-0.5109873152270517
2005-10-01,-0.5109873152270517
2005-11-01,-0.5125587848812785
2005-12-01,-0.6141268022082258
2006-01-01,-0.6179216365958418
2006-02-01,-0.6191970247921397
2006-03-01,-0.6172859107080875
2006-04-01,-0.513611812176773
2006-05-01,-0.5130847582344167
2006-06-01,-0.4106781952653904
2006-07-01,-0.3084835351209847
2006-08-01,-0.3084835351209847
2006-09-01,-0.3078504227087997
2006-10-01,-0.3078504227087997
2006-11-01,-0.1028277725565907
2006-12-01,-0.2055499182096021
2007-01-01,-0.10335918232824426
2007-02-01,-0.10357328735315363
2007-03-01,-0.10325246141897892
2007-04-01,-0.10303967938964931
2007-05-01,-0.10293361691138259
2007-06-01,-0.2059732963010319
2007-07-01,-0.20618564005587814
2007-08-01,-0.10303967938964931
2007-09-01,-0.2057613894679733
2007-10-01,-0.1028277725565907
2007-11-01,0.0
2007-12-01,-0.2059732963010319
2008-01-01,0.20661164374722318
2008-02-01,0.31039859375905365
2008-03-01,0.41237171838623965
2008-04-01,0.5141399500418586
2008-05-01,0.6160183751457993
2008-06-01,0.8213598537389011
2008-07-01,0.9245058144051299
2008-08-01,1.0256500167188598
2008-09-01,1.1264840063140547
2008-10-01,1.1253315686727383
2008-11-01,1.023550389402672
2008-12-01,0.7190580545354486
2009-01-01,0.7197974522326511
2009-02-01,0.6179216365958418
2009-03-01,0.4106781952653904
2009-04-01,0.10251154152456365
2009-05-01,-0.10240656296902628
2009-06-01,-0.30721990369704244
2009-07-01,-0.5125587848812785
2009-08-01,-0.7168489478612372
2009-09-01,-0.81800047119307
2009-10-01,-1.0225037961161476
2009-11-01,-1.023550389402672
2009-12-01,-0.30753484002481457
2010-01-01,-1.02987522005753
2010-02-01,-1.0320009031989485
2010-03-01,-1.02987522005753
2010-04-01,-1.2371291802547368
2010-05-01,-1.444813574738646
2010-06-01,-1.4463062027554763
2010-07-01,-1.6580690733050574
2010-08-01,-1.6580690733050574
2010-09-01,-1.7607912189580688
2010-10-01,-1.3450797724122943
2010-11-01,-1.4508026489578718
2010-12-01,-1.3436894672242516
2011-01-01,-1.3548930558315853
2011-02-01,-1.1476390956343785
2011-03-01,-1.2500162764230716
2011-04-01,-0.8333381559144648
2011-05-01,-0.6256537614305557
2011-06-01,-0.7310737522005617
2011-07-01,-0.41884877987525826
2011-08-01,-0.41884877987525826
2011-09-01,-0.31397200046674456
2011-10-01,-0.6269613013595077
2011-11-01,-0.7333715425470011
2011-12-01,-0.8359505316090754
2012-01-01,-0.5260401399179493
2012-02-01,-0.4206105044273656
2012-03-01,-0.20986366569211157
2012-04-01,-0.3143009397199137
2012-05-01,-0.41928782600351155
2012-06-01,-0.42016868537002594
2012-07-01,-0.4206105044273656
2012-08-01,-0.4206105044273656
2012-09-01,-0.5254872838358793
2012-10-01,-0.5254872838358793
2012-11-01,-0.4214969359312093
2012-12-01,-0.8429976160458708
2013-01-01,-0.6349227678659197
2013-02-01,-0.7403524033565034
2013-03-01,-0.7380107297622729
2013-04-01,-0.5260401399179493
2013-05-01,-0.4210532536343514
2013-06-01,-0.21074823395643705
2013-07-01,-0.1054296354905837
2013-08-01,0.0
2013-09-01,0.0
2013-10-01,0.3156236181437677
2013-11-01,0.5265941605287594
2013-12-01,0.31695747612792147
2014-01-01,0.7403524033565034
2014-02-01,0.8456710018223568
2014-03-01,0.8429976160458708
2014-04-01,0.6226952634802885
2014-05-01,0.7254174091332999
2014-06-01,0.7254174091332999
2014-07-01,0.7254174091332999
2014-08-01,0.7226045091739408
2014-09-01,0.7226045091739408
2014-10-01,0.611898995523763
2014-11-01,0.5094924325546479
2014-12-01,0.9305456861889994
2015-01-01,0.6199877736427162
2015-02-01,0.5146691751768628
2015-03-01,0.5069121092401652
2015-04-01,0.8188377379357625
2015-05-01,0.81800047119307
2015-06-01,0.81800047119307
2015-07-01,0.81800047119307
2015-08-01,0.9188426054405952
2015-09-01,1.1218883604787955
2015-10-01,1.0183387390698684
2015-11-01,1.1207453020389835
2015-12-01,0.6128721941373705
2016-01-01,0.9197816504631362
2016-02-01,1.0214593409718198
2016-03-01,0.9169702559852055
2016-04-01,0.8121872057349933
2016-05-01,0.7103023268246744
2016-06-01,0.7103023268246744
2016-07-01,0.507873107901613
2016-08-01,0.40568006956140934
2016-09-01,0.202634314523209
2016-10-01,0.3034903695153801
2016-11-01,0.20242921892306143
2016-12-01,0.6091389393401592
2017-01-01,0.20325210249225734
2017-02-01,0.10157441198357375
2017-03-01,0.0
2017-04-01,0.0
2017-05-01,0.10106115059231868
2017-06-01,0.0
2017-07-01,0.10126583143854617
2017-08-01,0.20222453807683394
2017-09-01,0.20222453807683394
2017-10-01,0.20181641562375674
2017-11-01,0.3028775662160754
2017-12-01,0.10116338748451525
2018-01-01,0.40526904506235084
2018-02-01,0.5063301956546695
2018-03-01,0.40485885260004295
2018-04-01,0.3028775662160754
2018-05-01,0.3025720916537189
2018-06-01,0.20202027072757645
2018-07-01,0.3031836582120917
2018-08-01,0.40322635279386176
2018-09-01,0.3025720916537189
2018-10-01,0.30196298737195093
2018-11-01,0.30196298737195093
2018-12-01,0.3028775662160754
2019-01-01,0.4036332422460376
2019-02-01,0.40322635279386176
2019-03-01,0.5037794029957077
2019-04-01,0.6030169026590926
2019-05-01,0.5022612266291304
2019-06-01,0.5032723254609905
2019-07-01,0.5032723254609905
2019-08-01,0.5017571991979608
2019-09-01,0.6024114603381037
2019-10-01,0.2023002975178656
2019-11-01,0.3020509292303686
2019-12-01,0.6040139166023195
2020-01-01,0.40350760885985437
2020-02-01,0.20300311476075805
2020-03-01,0.2023002975178656
2020-04-01,-0.1986038507282295
2020-05-01,-0.09875361776927605
2020-06-01,-0.09795201134998877
2020-07-01,-0.09795201134998877
2020-08-01,-0.598904384812915
2020-09-01,-0.598904384812915
2020-10-01,-0.29985029962569243
2020-11-01,-0.3996009313381954
2020-12-01,-0.2995508979798167
2021-01-01,0.0
2021-02-01,0.0
2021-03-01,0.0
2021-04-01,-1.0040244985233038
2021-05-01,-0.9022617599637961
2021-06-01,-0.8032171697264445
2021-07-01,-0.6018072325563395
2021-08-01,-0.5022612266291304
2021-09-01,-0.5022612266291304
2021-10-01,-0.7031671363680658
2021-11-01,-0.7031671363680658
2021-12-01,-0.5012541823544048
2022-01-01,-1.204833851617515
2022-02-01,-0.9031672030348048
2022-03-01,-0.7010544486217185
2022-04-01,0.8040244318565648
2022-05-01,0.8024115270048426
2022-06-01,0.9031672030348048
2022-07-01,1.2000144003110336
2022-08-01,1.5984356308436531
2022-09-01,1.7964554975298697
2022-10-01,2.4889288763687567
2022-11-01,2.783479899344421
2022-12-01,1.0000083334582577
2023-01-01,3.181182763501411
2023-02-01,3.3699918445841526
2023-03-01,3.651120888291448
2023-04-01,4.022121348686536
2023-05-01,4.110167568555134
2023-06-01,4.2059989127363195
2023-07-01,4.185525773661336
2023-08-01,4.173337294404611
2023-09-01,4.165251008083626
2023-10-01,3.9523216369683922
2023-11-01,3.752243932308996
2023-12-01,5.23375251082312
2024-01-01,3.4618841654594945
2024-02-01,3.1657319870692646
2024-03-01,2.8655255760376974
2024-04-01,2.375408600810669
2024-05-01,2.181214972501788
2024-06-01,2.085383628320603
2024-07-01,1.888630262874802
2024-08-01,2.0696881771154807
2024-09-01,1.9728211460456002
2024-10-01,2.1506205220964247
2024-11-01,2.33328363981844
2024-12-01,1.0333581854545137
2025-01-01,2.519965355631548
2025-02-01,2.609654151980223
2025-03-01,2.7856954502965436
2025-04-01,2.960438213170491
2025-05-01,3.139685406067194
2025-06-01,3.4120414527712306
2025-07-01,3.312170292680783
2025-08-01,3.2068712281557055
2025-09-01,3.023592674546549
2025-10-01,3.0967866255010357
2025-11-01,2.909296094166436
2025-12-01,3.037509179755027
2026-01-01,2.637715451266942
2026-02-01,2.543279677300969
2026-03-01,2.4424552007075384
2026-04-01,1.8962193439813646
2026-05-01,1.8018505502678472
